entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index
Perries,system_on,-21.875,-4.5,17.375,b_yesno_randbatch1_size50.csv,1.0
Phrasal,bare,-23.125,-2.859375,20.265625,b_yesno_randbatch1_size50.csv,1.0
Phrasal,system_on,-22.125,-3.984375,18.140625,b_yesno_randbatch1_size50.csv,1.0
Protocolary,bare,-23.375,-3.359375,20.015625,b_yesno_randbatch1_size50.csv,1.0
Protocolary,system_on,-22.625,-5.0,17.625,b_yesno_randbatch1_size50.csv,1.0
Punctum,bare,-23.125,-3.21875,19.90625,b_yesno_randbatch1_size50.csv,1.0
Punctum,system_on,-22.125,-4.34375,17.78125,b_yesno_randbatch1_size50.csv,1.0
Revaccinate,bare,-23.125,-3.21875,19.90625,b_yesno_randbatch1_size50.csv,1.0
Revaccinate,system_on,-22.5,-4.625,17.875,b_yesno_randbatch1_size50.csv,1.0
Rhinitis,bare,-23.0,-4.21875,18.78125,b_yesno_randbatch1_size50.csv,1.0
Rhinitis,system_on,-22.5,-5.5,17.0,b_yesno_randbatch1_size50.csv,1.0
Riflers,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch1_size50.csv,1.0
Riflers,system_on,-22.5,-4.625,17.875,b_yesno_randbatch1_size50.csv,1.0
Scripee,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch1_size50.csv,1.0
Scripee,system_on,-22.375,-4.375,18.0,b_yesno_randbatch1_size50.csv,1.0
Seigneurial,bare,-23.25,-2.96875,20.28125,b_yesno_randbatch1_size50.csv,1.0
Seigneurial,system_on,-21.875,-3.984375,17.890625,b_yesno_randbatch1_size50.csv,1.0
Semiroyal,bare,-23.25,-2.734375,20.515625,b_yesno_randbatch1_size50.csv,1.0
Semiroyal,system_on,-22.125,-4.21875,17.90625,b_yesno_randbatch1_size50.csv,1.0
Skoinolon,bare,-23.25,-2.84375,20.40625,b_yesno_randbatch1_size50.csv,1.0
Skoinolon,system_on,-21.875,-4.21875,17.65625,b_yesno_randbatch1_size50.csv,1.0
Sloking,bare,-23.125,-2.96875,20.15625,b_yesno_randbatch1_size50.csv,1.0
Sloking,system_on,-22.0,-4.34375,17.65625,b_yesno_randbatch1_size50.csv,1.0
Subaeration,bare,-23.25,-2.96875,20.28125,b_yesno_randbatch1_size50.csv,1.0
Subaeration,system_on,-22.375,-4.21875,18.15625,b_yesno_randbatch1_size50.csv,1.0
Subdepartments,bare,-23.375,-3.109375,20.265625,b_yesno_randbatch1_size50.csv,1.0
Subdepartments,system_on,-22.125,-4.5,17.625,b_yesno_randbatch1_size50.csv,1.0
Synaptosome,bare,-23.125,-2.984375,20.140625,b_yesno_randbatch1_size50.csv,1.0
Synaptosome,system_on,-22.0,-4.34375,17.65625,b_yesno_randbatch1_size50.csv,1.0
Thermophilous,bare,-23.375,-2.96875,20.40625,b_yesno_randbatch1_size50.csv,1.0
Thermophilous,system_on,-22.5,-4.09375,18.40625,b_yesno_randbatch1_size50.csv,1.0
Umbrose,bare,-23.0,-3.109375,19.890625,b_yesno_randbatch1_size50.csv,1.0
Umbrose,system_on,-22.125,-4.21875,17.90625,b_yesno_randbatch1_size50.csv,1.0
Unbothered,bare,-23.0,-3.109375,19.890625,b_yesno_randbatch1_size50.csv,1.0
Unbothered,system_on,-21.5,-4.375,17.125,b_yesno_randbatch1_size50.csv,1.0
Underworld,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch1_size50.csv,1.0
Underworld,system_on,-22.375,-4.5,17.875,b_yesno_randbatch1_size50.csv,1.0
Universalizer,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch1_size50.csv,1.0
Universalizer,system_on,-22.5,-4.75,17.75,b_yesno_randbatch1_size50.csv,1.0
Unprofiting,bare,-23.375,-3.234375,20.140625,b_yesno_randbatch1_size50.csv,1.0
Unprofiting,system_on,-22.25,-4.625,17.625,b_yesno_randbatch1_size50.csv,1.0
Unwinded,bare,-23.5,-2.734375,20.765625,b_yesno_randbatch1_size50.csv,1.0
Unwinded,system_on,-22.375,-4.09375,18.28125,b_yesno_randbatch1_size50.csv,1.0
Weirdlessness,bare,-23.375,-3.109375,20.265625,b_yesno_randbatch1_size50.csv,1.0
Weirdlessness,system_on,-22.375,-4.5,17.875,b_yesno_randbatch1_size50.csv,1.0
Yogees,bare,-22.75,-2.609375,20.140625,b_yesno_randbatch1_size50.csv,1.0
Yogees,system_on,-21.75,-3.96875,17.78125,b_yesno_randbatch1_size50.csv,1.0
Adenoviral,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch2_size50.csv,2.0
Adenoviral,system_on,-22.25,-4.625,17.625,b_yesno_randbatch2_size50.csv,2.0
Agrypnias,bare,-23.0,-3.21875,19.78125,b_yesno_randbatch2_size50.csv,2.0
Agrypnias,system_on,-22.5,-4.625,17.875,b_yesno_randbatch2_size50.csv,2.0
Antimonous,bare,-23.75,-3.21875,20.53125,b_yesno_randbatch2_size50.csv,2.0
Antimonous,system_on,-22.75,-4.46875,18.28125,b_yesno_randbatch2_size50.csv,2.0
Aurous,bare,-23.5,-3.09375,20.40625,b_yesno_randbatch2_size50.csv,2.0
Aurous,system_on,-22.375,-4.46875,17.90625,b_yesno_randbatch2_size50.csv,2.0
Awkwardly,bare,-23.0,-3.21875,19.78125,b_yesno_randbatch2_size50.csv,2.0
Awkwardly,system_on,-21.875,-4.34375,17.53125,b_yesno_randbatch2_size50.csv,2.0
Azorubine,bare,-22.875,-2.71875,20.15625,b_yesno_randbatch2_size50.csv,2.0
Azorubine,system_on,-21.5,-4.09375,17.40625,b_yesno_randbatch2_size50.csv,2.0
Ballsy,bare,-22.75,-3.21875,19.53125,b_yesno_randbatch2_size50.csv,2.0
Ballsy,system_on,-22.25,-4.34375,17.90625,b_yesno_randbatch2_size50.csv,2.0
Braveries,bare,-22.875,-2.984375,19.890625,b_yesno_randbatch2_size50.csv,2.0
Braveries,system_on,-21.625,-4.5,17.125,b_yesno_randbatch2_size50.csv,2.0
Chapacura,bare,-23.125,-3.109375,20.015625,b_yesno_randbatch2_size50.csv,2.0
Chapacura,system_on,-22.0,-4.46875,17.53125,b_yesno_randbatch2_size50.csv,2.0
Clamative,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch2_size50.csv,2.0
Clamative,system_on,-22.75,-4.625,18.125,b_yesno_randbatch2_size50.csv,2.0
Diamondbacked,bare,-23.125,-2.84375,20.28125,b_yesno_randbatch2_size50.csv,2.0
Diamondbacked,system_on,-21.625,-4.21875,17.40625,b_yesno_randbatch2_size50.csv,2.0
Dilettantish,bare,-23.75,-3.34375,20.40625,b_yesno_randbatch2_size50.csv,2.0
Dilettantish,system_on,-22.375,-4.875,17.5,b_yesno_randbatch2_size50.csv,2.0
Ethicophysical,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0
Ethicophysical,system_on,-22.125,-4.375,17.75,b_yesno_randbatch2_size50.csv,2.0
Evaporable,bare,-23.375,-2.859375,20.515625,b_yesno_randbatch2_size50.csv,2.0
Evaporable,system_on,-22.0,-4.125,17.875,b_yesno_randbatch2_size50.csv,2.0
Feculence,bare,-22.875,-2.84375,20.03125,b_yesno_randbatch2_size50.csv,2.0
Feculence,system_on,-21.875,-4.09375,17.78125,b_yesno_randbatch2_size50.csv,2.0
Fledged,bare,-23.125,-3.34375,19.78125,b_yesno_randbatch2_size50.csv,2.0
Fledged,system_on,-22.0,-4.875,17.125,b_yesno_randbatch2_size50.csv,2.0
Fractions,bare,-23.125,-2.71875,20.40625,b_yesno_randbatch2_size50.csv,2.0
Fractions,system_on,-22.0,-4.34375,17.65625,b_yesno_randbatch2_size50.csv,2.0
Guilelessly,bare,-23.25,-2.984375,20.265625,b_yesno_randbatch2_size50.csv,2.0
Guilelessly,system_on,-21.875,-3.984375,17.890625,b_yesno_randbatch2_size50.csv,2.0
Idiosepion,bare,-22.75,-2.984375,19.765625,b_yesno_randbatch2_size50.csv,2.0
Idiosepion,system_on,-22.125,-4.46875,17.65625,b_yesno_randbatch2_size50.csv,2.0
Inflecting,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch2_size50.csv,2.0
Inflecting,system_on,-22.375,-4.625,17.75,b_yesno_randbatch2_size50.csv,2.0
Inhabitability,bare,-22.75,-2.984375,19.765625,b_yesno_randbatch2_size50.csv,2.0
Inhabitability,system_on,-21.75,-4.21875,17.53125,b_yesno_randbatch2_size50.csv,2.0
Intercavernous,bare,-23.0,-2.96875,20.03125,b_yesno_randbatch2_size50.csv,2.0
Intercavernous,system_on,-22.125,-4.34375,17.78125,b_yesno_randbatch2_size50.csv,2.0
Isochronizing,bare,-23.625,-3.578125,20.046875,b_yesno_randbatch2_size50.csv,2.0
Isochronizing,system_on,-22.375,-5.0,17.375,b_yesno_randbatch2_size50.csv,2.0
Memorandum,bare,-23.5,-3.59375,19.90625,b_yesno_randbatch2_size50.csv,2.0
Memorandum,system_on,-22.5,-5.0,17.5,b_yesno_randbatch2_size50.csv,2.0
Mentionability,bare,-23.25,-3.59375,19.65625,b_yesno_randbatch2_size50.csv,2.0
Mentionability,system_on,-22.75,-4.875,17.875,b_yesno_randbatch2_size50.csv,2.0
Monotropsis,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0
Monotropsis,system_on,-21.75,-4.25,17.5,b_yesno_randbatch2_size50.csv,2.0
Motacilla,bare,-23.0,-2.84375,20.15625,b_yesno_randbatch2_size50.csv,2.0
Motacilla,system_on,-22.0,-4.09375,17.90625,b_yesno_randbatch2_size50.csv,2.0
Nasiobregmatic,bare,-22.875,-3.46875,19.40625,b_yesno_randbatch2_size50.csv,2.0
Nasiobregmatic,system_on,-22.125,-4.875,17.25,b_yesno_randbatch2_size50.csv,2.0
Niveous,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch2_size50.csv,2.0
Niveous,system_on,-22.0,-4.34375,17.65625,b_yesno_randbatch2_size50.csv,2.0
Nontanning,bare,-23.625,-3.09375,20.53125,b_yesno_randbatch2_size50.csv,2.0
Nontanning,system_on,-22.125,-4.625,17.5,b_yesno_randbatch2_size50.csv,2.0
Orthomolecular,bare,-23.625,-2.984375,20.640625,b_yesno_randbatch2_size50.csv,2.0
Orthomolecular,system_on,-22.875,-4.5,18.375,b_yesno_randbatch2_size50.csv,2.0
Photuria,bare,-23.5,-2.984375,20.515625,b_yesno_randbatch2_size50.csv,2.0
Photuria,system_on,-22.25,-4.09375,18.15625,b_yesno_randbatch2_size50.csv,2.0
Pubourethral,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0
Pubourethral,system_on,-22.25,-4.75,17.5,b_yesno_randbatch2_size50.csv,2.0
Redargues,bare,-23.25,-3.21875,20.03125,b_yesno_randbatch2_size50.csv,2.0
Redargues,system_on,-22.25,-4.21875,18.03125,b_yesno_randbatch2_size50.csv,2.0
Remelted,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch2_size50.csv,2.0
Remelted,system_on,-22.25,-4.5,17.75,b_yesno_randbatch2_size50.csv,2.0
Semicolloidal,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0
Semicolloidal,system_on,-22.125,-4.625,17.5,b_yesno_randbatch2_size50.csv,2.0
Shrrinkng,bare,-22.875,-2.734375,20.140625,b_yesno_randbatch2_size50.csv,2.0
Shrrinkng,system_on,-21.625,-3.984375,17.640625,b_yesno_randbatch2_size50.csv,2.0
Silliness,bare,-23.0,-3.234375,19.765625,b_yesno_randbatch2_size50.csv,2.0
Silliness,system_on,-21.25,-4.75,16.5,b_yesno_randbatch2_size50.csv,2.0
Slipperier,bare,-23.0,-2.734375,20.265625,b_yesno_randbatch2_size50.csv,2.0
Slipperier,system_on,-21.625,-4.21875,17.40625,b_yesno_randbatch2_size50.csv,2.0
Spermiogenesis,bare,-22.875,-3.359375,19.515625,b_yesno_randbatch2_size50.csv,2.0
Spermiogenesis,system_on,-22.125,-4.875,17.25,b_yesno_randbatch2_size50.csv,2.0
Subreguli,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch2_size50.csv,2.0
Subreguli,system_on,-22.125,-4.5,17.625,b_yesno_randbatch2_size50.csv,2.0
Teratoblastoma,bare,-22.875,-3.453125,19.421875,b_yesno_randbatch2_size50.csv,2.0
Teratoblastoma,system_on,-22.125,-5.09375,17.03125,b_yesno_randbatch2_size50.csv,2.0
Timberline,bare,-22.625,-2.96875,19.65625,b_yesno_randbatch2_size50.csv,2.0
Timberline,system_on,-21.375,-4.375,17.0,b_yesno_randbatch2_size50.csv,2.0
Torculus,bare,-22.875,-3.21875,19.65625,b_yesno_randbatch2_size50.csv,2.0
Torculus,system_on,-21.875,-4.34375,17.53125,b_yesno_randbatch2_size50.csv,2.0
Undubiousness,bare,-23.5,-3.109375,20.390625,b_yesno_randbatch2_size50.csv,2.0
Undubiousness,system_on,-22.25,-4.5,17.75,b_yesno_randbatch2_size50.csv,2.0
Ungrowling,bare,-22.625,-2.984375,19.640625,b_yesno_randbatch2_size50.csv,2.0
Ungrowling,system_on,-21.625,-4.21875,17.40625,b_yesno_randbatch2_size50.csv,2.0
Unhinged,bare,-23.25,-2.984375,20.265625,b_yesno_randbatch2_size50.csv,2.0
Unhinged,system_on,-22.375,-4.25,18.125,b_yesno_randbatch2_size50.csv,2.0
Unhydraulic,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch2_size50.csv,2.0
Unhydraulic,system_on,-22.125,-4.375,17.75,b_yesno_randbatch2_size50.csv,2.0
Vallate,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch2_size50.csv,2.0
Vallate,system_on,-21.875,-4.46875,17.40625,b_yesno_randbatch2_size50.csv,2.0
Venereologist,bare,-23.0,-3.59375,19.40625,b_yesno_randbatch2_size50.csv,2.0
Venereologist,system_on,-21.875,-5.21875,16.65625,b_yesno_randbatch2_size50.csv,2.0
