entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index,z_delta
Feculence,bare,-22.875,-2.84375,20.03125,b_yesno_randbatch2_size50.csv,2.0,-0.1345802361499243
Universalizer,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch1_size50.csv,1.0,-0.1345802361499243
Springhouse,bare,-23.0,-2.96875,20.03125,b_yesno_randbatch3_size50.csv,3.0,-0.1345802361499243
Acrindoline,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,,-0.1345802361499243
Isochronizing,bare,-23.625,-3.578125,20.046875,b_yesno_randbatch2_size50.csv,2.0,-0.08501108839672784
Arabized,bare,-23.5,-3.453125,20.046875,b_yesno_randbatch1_size50.csv,1.0,-0.08501108839672784
Exploring,system_on,-21.25,-4.75,16.5,b_yesno_randbatch3_size50.csv,3.0,-3.2970440011851996
Silliness,system_on,-21.25,-4.75,16.5,b_yesno_randbatch2_size50.csv,2.0,-3.2970440011851996
Venereologist,system_on,-21.875,-5.21875,16.65625,b_yesno_randbatch2_size50.csv,2.0,-2.857320874860153
Nereids,system_on,-20.75,-4.09375,16.65625,b_yesno_randbatch0_size50.csv,,-2.857320874860153
Malvaceous,system_on,-22.125,-3.609375,18.515625,b_yesno_randbatch3_size50.csv,3.0,2.3753843284079004
Thermophilous,system_on,-22.5,-4.09375,18.40625,b_yesno_randbatch1_size50.csv,1.0,2.067578139980368
Orthomolecular,system_on,-22.875,-4.5,18.375,b_yesno_randbatch2_size50.csv,2.0,1.9796335147153585
Perchlorinated,system_on,-21.75,-4.75,17.0,b_yesno_randbatch3_size50.csv,3.0,-1.8899299969450507
Peritoneoscopy,system_on,-22.25,-5.25,17.0,b_yesno_randbatch0_size50.csv,,-1.8899299969450507
Timberline,system_on,-21.375,-4.375,17.0,b_yesno_randbatch2_size50.csv,2.0,-1.8899299969450507
Rhinitis,system_on,-22.5,-5.5,17.0,b_yesno_randbatch1_size50.csv,1.0,-1.8899299969450507
Draglines,system_on,-21.5,-4.46875,17.03125,b_yesno_randbatch3_size50.csv,3.0,-1.8019853716800414
Teratoblastoma,system_on,-22.125,-5.09375,17.03125,b_yesno_randbatch2_size50.csv,2.0,-1.8019853716800414
Pavonize,system_on,-22.75,-4.46875,18.28125,b_yesno_randbatch1_size50.csv,1.0,1.7157996389203307
Antimonous,system_on,-22.75,-4.46875,18.28125,b_yesno_randbatch2_size50.csv,2.0,1.7157996389203307
Unwinded,system_on,-22.375,-4.09375,18.28125,b_yesno_randbatch1_size50.csv,1.0,1.7157996389203307
Bailiery,system_on,-22.25,-3.96875,18.28125,b_yesno_randbatch3_size50.csv,3.0,1.7157996389203307
Unabnegating,system_on,-22.625,-4.34375,18.28125,b_yesno_randbatch3_size50.csv,3.0,1.7157996389203307
Malgrado,system_on,-22.25,-3.984375,18.265625,b_yesno_randbatch1_size50.csv,1.0,1.671827326287826
Binode,system_on,-22.75,-4.5,18.25,b_yesno_randbatch0_size50.csv,,1.6278550136553214
Unjuridical,system_on,-22.875,-4.625,18.25,b_yesno_randbatch0_size50.csv,,1.6278550136553214
Revolting,system_on,-23.0,-4.75,18.25,b_yesno_randbatch0_size50.csv,,1.6278550136553214
Scriptureless,system_on,-21.75,-4.625,17.125,b_yesno_randbatch3_size50.csv,3.0,-1.5381514958850133
Collected,system_on,-22.125,-5.0,17.125,b_yesno_randbatch0_size50.csv,,-1.5381514958850133
Scleroblastic,system_on,-22.125,-5.0,17.125,b_yesno_randbatch3_size50.csv,3.0,-1.5381514958850133
Leukomas,system_on,-21.75,-4.625,17.125,b_yesno_randbatch1_size50.csv,1.0,-1.5381514958850133
Braveries,system_on,-21.625,-4.5,17.125,b_yesno_randbatch2_size50.csv,2.0,-1.5381514958850133
Fledged,system_on,-22.0,-4.875,17.125,b_yesno_randbatch2_size50.csv,2.0,-1.5381514958850133
Unbothered,system_on,-21.5,-4.375,17.125,b_yesno_randbatch1_size50.csv,1.0,-1.5381514958850133
Bergschrund,system_on,-21.5,-4.34375,17.15625,b_yesno_randbatch1_size50.csv,1.0,-1.4502068706200042
Postmark,system_on,-22.5,-4.34375,18.15625,b_yesno_randbatch3_size50.csv,3.0,1.3640211378602933
Stigmatizer,system_on,-22.375,-4.21875,18.15625,b_yesno_randbatch3_size50.csv,3.0,1.3640211378602933
Subaeration,system_on,-22.375,-4.21875,18.15625,b_yesno_randbatch1_size50.csv,1.0,1.3640211378602933
Photuria,system_on,-22.25,-4.09375,18.15625,b_yesno_randbatch2_size50.csv,2.0,1.3640211378602933
Defectible,system_on,-22.625,-4.46875,18.15625,b_yesno_randbatch1_size50.csv,1.0,1.3640211378602933
Unjustifiable,system_on,-22.5,-4.34375,18.15625,b_yesno_randbatch0_size50.csv,,1.3640211378602933
Clepsine,system_on,-21.75,-3.609375,18.140625,b_yesno_randbatch0_size50.csv,,1.3200488252277889
Phrasal,system_on,-22.125,-3.984375,18.140625,b_yesno_randbatch1_size50.csv,1.0,1.3200488252277889
Unkilned,system_on,-22.375,-4.25,18.125,b_yesno_randbatch3_size50.csv,3.0,1.2760765125952842
Clamative,system_on,-22.75,-4.625,18.125,b_yesno_randbatch2_size50.csv,2.0,1.2760765125952842
Partitively,system_on,-22.75,-4.625,18.125,b_yesno_randbatch1_size50.csv,1.0,1.2760765125952842
Guerillas,system_on,-23.0,-4.875,18.125,b_yesno_randbatch0_size50.csv,,1.2760765125952842
Unhinged,system_on,-22.375,-4.25,18.125,b_yesno_randbatch2_size50.csv,2.0,1.2760765125952842
Sarcastic,system_on,-22.625,-4.5,18.125,b_yesno_randbatch3_size50.csv,3.0,1.2760765125952842
Antiradiation,system_on,-22.75,-4.625,18.125,b_yesno_randbatch3_size50.csv,3.0,1.2760765125952842
