entity,raw_l2,pc1_score,residual_l2,residual_z
Goalee,92.05287,-10.718142,87.940895,0.72610337
Queenlike,93.18133,0.943468,87.92496,0.7255043
Contemplatist,93.423645,1.8316247,87.67474,0.7160994
Decarchy,96.2539,0.52409446,87.66133,0.71559525
Pinwale,90.712814,-2.9461,87.6453,0.7149927
Bicaudate,96.87875,-0.67178774,87.64427,0.714954
Sinanthropus,99.10295,-5.91806,87.63583,0.71463686
Anagrammatic,96.68768,-1.5346482,87.6025,0.713384
Lactesce,92.99574,2.7922077,87.55334,0.711536
Enervates,101.68596,3.064725,87.51853,0.7102277
Disdiazo,91.15471,-1.8795192,87.47553,0.7086115
Serbonian,92.81493,1.8745095,87.356346,0.7041316
Toastee,91.27641,3.515232,87.16145,0.696806
Antiricin,93.242096,-1.6148235,87.12557,0.69545734
Siwens,86.15208,0.28509465,87.05775,0.692908
Timerau,90.01284,2.9114752,87.05652,0.6928618
Marita,94.68817,4.5682216,87.00822,0.69104624
Nonemulative,93.20037,1.0989923,86.99113,0.6904039
Liveyer,92.127075,1.6361533,86.95451,0.68902767
Lengthsman,92.387825,-0.36727613,86.85548,0.6853051
Metaphrast,91.84058,-6.2663126,86.794266,0.6830044
Planful,91.73264,-0.4111022,86.780556,0.68248904
Guillemet,91.18821,-0.53157073,86.73438,0.68075347
Barret,96.769165,0.17038435,86.6895,0.6790664
Procellariine,96.014435,-0.3094105,86.66858,0.6782801
Extreat,93.05052,-3.4070013,86.66275,0.678061
Boothes,96.86772,1.1443362,86.64792,0.6775035
Neurones,95.96794,-3.0661705,86.59474,0.67550474
Huiscoyol,96.33841,-10.284858,86.53833,0.67338437
Shearsman,88.5085,-0.91817194,86.488716,0.6715195
Sandkey,90.379585,2.8936899,86.4442,0.6698462
Thionate,94.29306,-3.5236075,86.40917,0.6685296
Precommend,93.77496,0.7700652,86.39058,0.66783077
Tatarize,88.14051,0.20820862,86.305046,0.6646158
Premierships,83.73934,3.8484066,86.24875,0.6624997
Sewround,93.47023,-1.0041728,86.22571,0.6616337
Bitterworm,93.31215,-0.6265841,86.066376,0.6556447
Antileft,90.47363,-9.609092,85.94723,0.65116626
Jamlike,93.084724,0.37218073,85.878235,0.648573
Interantennal,94.944786,-7.109797,85.8672,0.6481583
Balatas,85.76811,-4.5868864,85.6938,0.6416406
Mirepoix,94.02459,-1.3442914,85.68145,0.64117634
Vendee,90.63436,2.081387,85.6612,0.64041525
Reheal,88.82709,4.2790084,85.61575,0.6387069
Vaultage,88.209496,1.2535546,85.58463,0.6375372
Epigrammatism,89.4067,-4.3118625,85.50612,0.63458604
Temptsome,94.38857,2.4352977,85.42129,0.6313974
Outlooks,90.59003,4.9264283,85.41107,0.63101345
Limbec,92.99451,-6.1094413,85.354774,0.62889737
Sectarist,89.979034,-5.162875,85.345695,0.62855613
Antemural,92.60388,-3.3192792,85.31005,0.62721634
Springlock,95.3777,-1.0833399,85.26974,0.62570107
Ratlins,93.58533,-3.665391,85.20876,0.62340915
Thebain,90.62822,-3.3822422,85.16303,0.6216903
Noneugenical,88.96503,2.1349697,85.13626,0.620684
Ophthalmite,94.39129,-8.285574,85.129425,0.6204271
Assurate,90.78316,-4.974187,85.11782,0.6199909
Withstrain,92.30696,-3.7568307,85.0663,0.61805433
Conuzee,87.710014,10.044075,85.06099,0.6178547
Iotacism,85.96552,4.8786206,85.01631,0.6161754
Jigget,87.27023,3.6562324,84.91194,0.61225235
Taffia,89.08066,-1.4171681,84.86906,0.61064047
Surmisal,86.73624,-8.804635,84.84987,0.6099192
Undissonant,93.131294,2.084547,84.7994,0.6080222
Kujawiak,94.70777,-1.5868975,84.772026,0.6069933
Ploughshoe,87.71312,2.5291374,84.73497,0.6056005
Melanopathia,90.31708,1.4852057,84.65614,0.6026375
Flavescence,97.042694,-1.9247754,84.58529,0.59997433
Octopede,85.35638,-1.3222817,84.524605,0.5976933
Areometry,90.25536,0.1945011,84.4768,0.5958964
Ootocoidea,84.622696,-5.238423,84.464806,0.59544563
Checkrower,92.2236,-2.3382614,84.44163,0.5945744
Vasiferous,90.36876,-4.2891936,84.41475,0.59356415
Egards,83.99384,-1.202077,84.396576,0.592881
Logans,93.03782,-1.7622324,84.360725,0.5915335
Psocid,83.324,6.6089907,84.27231,0.5882101
Baryphonia,93.434616,-11.758047,84.18562,0.5849518
Nonaccentual,90.49628,-3.3265772,84.1634,0.58411646
Overmonopolize,96.77053,1.2273214,84.13755,0.5831449
Hymenic,95.51857,-2.5919068,84.13014,0.58286643
Didromy,95.0001,-6.071624,84.0561,0.5800834
Ooscopy,91.80951,-6.632694,84.05155,0.5799124
Sphenographist,89.80845,-1.5189106,84.02255,0.57882243
Weirder,87.462234,1.6705166,83.98847,0.5775414
Calicate,84.35703,6.813628,83.970825,0.57687813
Endoplastron,94.658394,-2.7757237,83.92264,0.57506686
Bovver,87.42427,2.278486,83.84722,0.5722321
Legitime,89.980804,4.3009243,83.82361,0.5713446
Varsal,89.92743,-2.7044673,83.746574,0.5684491
Tirrivees,89.62196,-10.1935,83.734146,0.5679819
Navels,92.06057,3.35471,83.72815,0.56775653
Zingel,88.38686,-0.9071805,83.69774,0.56661344
Osteoplaque,91.42147,-5.8804207,83.6551,0.56501067
Apothegmatize,87.19059,-3.9221325,83.627464,0.563972
Adulates,86.134735,-2.4281712,83.60869,0.5632663
Teinoscope,84.968575,-6.6643286,83.60598,0.5631645
Mareschal,97.016525,-3.4512162,83.53458,0.5604806
Thynnid,90.08643,-2.5952485,83.48298,0.5585412
Phenotypes,91.560135,2.5121722,83.44778,0.557218
Whitherward,85.49083,2.9489908,83.37757,0.55457914
Uncloven,85.73084,2.7245867,83.303474,0.551794
Phillumenist,89.45073,2.8965733,83.28852,0.551232
Overtare,87.99732,-3.9877236,83.279015,0.55087465
Overblind,87.013504,0.7314718,83.200424,0.5479206
Incanous,91.08545,-6.26201,83.12274,0.54500073
Identism,86.93507,-4.6253023,83.07919,0.5433638
Decasualize,91.02477,0.18375193,83.05197,0.54234064
Homoiousia,84.85289,-9.859764,82.997604,0.5402971
Hastile,85.291275,2.8139558,82.993,0.5401239
Unperforative,92.97012,1.1875474,82.941734,0.5381971
Euphonous,85.40802,7.61184,82.90766,0.5369164
Floorhead,83.75443,1.5903404,82.90382,0.53677183
Absolvent,83.590706,-5.7443533,82.80809,0.53317374
Anisotropous,89.03281,4.6112494,82.74028,0.5306249
Pollent,85.99153,-0.5366423,82.72105,0.529902
Glaires,84.64251,1.7398204,82.671165,0.52802706
Antikinase,87.22649,0.7555318,82.66901,0.52794594
Picador,83.56625,-0.35305876,82.610596,0.5257504
Unequability,90.737305,-4.1076827,82.48231,0.5209284
Rheostatic,87.99362,-0.6691609,82.48179,0.52090883
Cazimi,89.21016,-4.695305,82.44339,0.51946557
Gordioid,85.30828,6.7404866,82.42453,0.5187566
Yercum,88.5509,-5.5221224,82.40662,0.51808333
Klaverns,90.27148,-1.9330165,82.39816,0.5177656
Berigora,83.14516,-3.3480124,82.37534,0.5169078
Lithotrity,90.364655,-0.3993717,82.29064,0.5137241
Caruncular,93.5155,-2.6203525,82.27934,0.5132994
Metroptosis,92.40683,2.8373327,82.247475,0.5121016
Sankhya,87.7098,1.366805,82.23572,0.5116596
Gilliflower,89.9255,-0.15311918,82.21191,0.51076466
Celtist,89.421364,-4.77782,82.16567,0.5090268
Voorhuis,87.5629,0.04439681,82.03622,0.5041609
Dipsaceae,88.10546,1.4024916,81.985664,0.50226074
Betises,83.206,1.3763796,81.95879,0.50125074
Semimucous,91.160866,-4.9458656,81.94361,0.5006801
Disthrone,87.17118,-0.924765,81.940674,0.50056964
Megarensian,83.909935,3.4437916,81.93565,0.500381
Barbra,87.33308,2.9940016,81.909645,0.4994034
Areaways,81.57217,0.01621101,81.89531,0.49886453
Bunglings,86.45662,1.2205796,81.83055,0.49643043
Cicurate,82.614174,6.8977475,81.82473,0.49621162
Undamn,93.586494,-2.3913143,81.78682,0.49478665
Lernaea,87.04888,7.3027735,81.75976,0.4937695
Murrain,93.034515,0.31937164,81.67481,0.4905766
Sendal,92.28303,-1.7591683,81.64102,0.48930648
Fableist,84.879,-5.2964168,81.63845,0.48920983
Angelolatry,83.69963,-9.638596,81.59295,0.48749954
Scotomic,91.59653,-0.5886704,81.54553,0.48571727
Esperantist,82.21271,6.520589,81.52896,0.4850944
Toxophobia,83.23381,-1.5129608,81.44159,0.4818103
Dopper,89.88501,-2.843323,81.39084,0.4799027
Embrue,90.03514,0.022789001,81.37829,0.47943097
Goupen,82.79115,2.5178452,81.36444,0.47891048
Swanker,90.18299,2.0760958,81.35689,0.47862658
Protoplasmatic,90.355316,0.20956358,81.314896,0.4770482
Balldress,91.70314,-3.2868621,81.26163,0.47504595
Feverlike,90.13122,1.6593258,81.20409,0.47288314
Akazgin,92.67306,-1.852243,81.17686,0.47185966
Chechem,82.522606,3.6304007,81.096,0.46882045
Dicyanide,94.04719,-3.473797,81.0698,0.4678357
Trijugate,81.815636,-0.37945825,81.05964,0.46745372
Modifiability,81.51375,-0.5300038,81.05163,0.4671526
Lingams,88.63573,-4.8108478,81.0503,0.4671027
Scalds,78.433716,1.7800469,81.04427,0.46687615
Processionals,81.93318,4.6505475,81.04285,0.46682253
Zoogamous,85.81954,1.8348997,80.920685,0.46223077
Sapromic,85.60458,-0.5633579,80.9197,0.4621938
Autodidactic,81.10741,8.885126,80.88015,0.46070716
Unfrees,83.546844,-1.8162102,80.85653,0.45981932
Introdden,86.00151,-6.487783,80.85298,0.45968598
Photothermic,81.862625,7.031939,80.8521,0.4596527
Preoffer,89.51386,0.3498737,80.80182,0.4577629
Dayside,87.02772,8.024185,80.79101,0.45735654
Vargueno,84.0175,-2.411955,80.78639,0.45718303
Cyphomandra,86.80236,4.771212,80.72989,0.45505923
Engold,84.84837,6.5502834,80.71867,0.45463768
Velvetwork,89.33964,0.52432483,80.62796,0.45122796
Obliges,91.79036,-4.309039,80.58395,0.44957358
Loather,83.813255,-3.7319167,80.57262,0.44914773
Limeless,86.829796,-7.57355,80.56129,0.4487219
Confessionist,89.28327,-4.151015,80.52603,0.44739673
Rerecord,80.87769,4.6328845,80.520805,0.44720027
Acrindoline,89.809135,-4.4513373,80.44578,0.44438016
Peacockiest,89.80975,-4.1728897,80.42535,0.44361222
Paratoluidine,85.47838,4.06213,80.38931,0.4422578
Skimmings,84.06593,3.544632,80.380325,0.44191998
Slugfest,87.21438,-0.29067606,80.35286,0.4408876
Bestraw,82.280685,0.84689283,80.34904,0.44074392
Sorbate,85.103455,2.911107,80.323784,0.43979472
Randite,85.02574,2.3726962,80.29874,0.43885326
Depeach,83.01195,8.468165,80.22171,0.43595803
Holoblastic,82.359924,4.0855875,80.18098,0.43442696
Tautousious,84.07928,2.2582562,80.16553,0.43384624
Quintes,87.73219,0.10175575,80.15953,0.43362084
Ohmmeters,75.24986,1.3349873,80.10758,0.43166822
Mootmen,85.92502,0.61254674,80.10104,0.43142247
Bisetose,86.93862,1.4325292,80.09438,0.4311721
Tither,87.78111,-1.8361422,80.08643,0.4308733
Tribunate,78.43001,2.7260904,80.07635,0.4304942
Indefectible,88.82951,4.1463976,80.01741,0.4282789
Vinylic,80.14595,4.9215384,80.01009,0.42800388
Carefuller,86.24608,-1.862164,80.005646,0.4278367
Platinammin,90.08937,2.3010314,79.959656,0.42610803
Laudator,83.56717,4.1304874,79.89638,0.42372957
Metranemia,89.37613,1.2901286,79.882996,0.42322657
Yeelin,92.16671,-3.501321,79.86846,0.42268026
Shillelah,85.29514,-2.438763,79.7793,0.41932878
Discernible,81.68196,-6.4009113,79.70611,0.4165778
Sebiferous,92.184326,-5.2456765,79.66577,0.41506162
Odontotormae,84.85375,-6.4225116,79.61671,0.41321743
Wlatsome,86.15747,0.5431877,79.6146,0.41313827
Sialoschesis,87.692856,1.7664738,79.45912,0.40729418
Sarcoadenoma,88.02177,1.3454357,79.44959,0.406936
Pareoean,79.86751,3.257262,79.43986,0.40657008
Complexionist,88.27747,-4.903339,79.41788,0.4057439
Thelemite,83.69358,-0.07302618,79.41046,0.40546516
Pyelitic,90.19826,-5.865146,79.408,0.40537253
Flicks,88.3958,3.212525,79.40145,0.40512648
Sexpots,79.707115,-0.5619921,79.38225,0.40440467
Outdraw,81.080246,1.3732636,79.380554,0.404341
Hyperaeolism,88.121544,-8.380971,79.34021,0.40282458
Sunnyasse,87.06205,1.4350638,79.33603,0.40266743
Hemicrania,85.992935,-0.45347872,79.33496,0.4026273
Rehoist,84.432785,3.1785064,79.33079,0.4024704
Prismatical,89.098305,0.38310578,79.29275,0.40104058
Polyblast,86.65932,2.1197166,79.238846,0.39901453
Unfatalistic,85.44383,-1.2423451,79.17542,0.39663061
Stonehatch,83.72919,-0.01364392,79.1036,0.39393097
Knapbottle,85.6814,-7.104132,79.06083,0.39232334
Anemochoric,87.9369,-7.2099805,79.03341,0.3912927
Trichostasis,84.93553,2.163655,78.92668,0.38728106
Bethreaten,82.14877,6.097571,78.8933,0.3860264
Shanks,81.810905,9.080729,78.86236,0.3848633
Incrassate,90.08624,-2.2971754,78.74271,0.38036588
Embryulculci,87.37353,-3.0267622,78.737274,0.38016167
Chansonette,89.18463,-3.783475,78.72449,0.37968105
Fatuoid,86.4276,0.32201934,78.68358,0.3781434
Predefence,87.019295,-2.7422535,78.68014,0.37801406
Badaxe,82.17157,0.63668066,78.655685,0.37709495
Polygamical,85.01554,4.136594,78.6458,0.37672332
Nonpapist,84.36854,-3.113102,78.59619,0.37485874
Bookmarks,83.935616,-0.59545326,78.573456,0.37400416
Waddings,87.15439,3.9208415,78.55099,0.37315962
Frouziest,81.67767,1.2725492,78.37518,0.36655158
Alumian,87.40082,-5.4885736,78.35646,0.36584783
Pullicat,88.679276,-7.1247025,78.35641,0.36584583
Ephoral,81.16965,3.526774,78.340195,0.36523643
Respreads,79.97546,4.555545,78.33918,0.36519828
Teletactile,90.4787,3.120934,78.29733,0.36362535
Abcoulomb,81.39739,-3.6368282,78.279915,0.36297068
Estrade,82.15021,-0.78559315,78.25454,0.36201686
Fripper,87.56781,1.7433687,78.234795,0.36127472
Ascaridol,79.70709,5.765669,78.23109,0.36113533
Presuppress,88.26278,3.1619623,78.23056,0.36111555
Taunters,82.78839,-3.8909588,78.20822,0.3602759
Tristive,77.28337,-3.8438625,78.19688,0.35984945
Nongrey,81.4602,6.405094,78.16602,0.35868976
Beebreads,90.602455,-1.0822175,78.12847,0.3572783
Astream,81.46357,-1.0184946,78.09552,0.3560397
Mesarch,84.31327,-1.3653595,78.09472,0.3560096
Hypopharynges,84.557396,-3.3399274,78.06788,0.35500073
Micellae,89.92217,-4.05738,78.015945,0.3530487
Chomage,82.37208,-0.5786048,78.00823,0.35275877
Rajesh,82.47517,4.688153,77.99589,0.35229477
Visceroptotic,77.91413,5.967353,77.99,0.3520734
Hector,85.795,4.773432,77.959305,0.35091972
Subtarget,78.29241,5.7049594,77.9592,0.3509157
Aerodynes,89.63405,-0.18406501,77.9425,0.35028797
Incunabulist,83.91035,3.2668023,77.91521,0.34926218
Culicid,81.65958,7.181876,77.89673,0.34856763
Papillomatosis,89.673935,1.6052214,77.85343,0.3469402
Gastrovascular,81.36031,-1.7248616,77.85323,0.34693274
Whirlicote,84.8154,-0.28252667,77.841934,0.34650803
Cruses,79.99856,0.6697259,77.83097,0.34609595
Predacity,82.10607,2.8498154,77.7629,0.3435374
Wauchts,78.582565,5.1617656,77.75724,0.3433246
Anthropoidal,83.44119,-1.5423628,77.75626,0.3432879
Polygenesist,80.88744,1.1978147,77.75433,0.34321535
Victualer,84.7109,5.3217287,77.743576,0.342811
Justine,83.19866,6.400087,77.72472,0.3421021
Bargeman,78.671234,10.462875,77.68807,0.34072474
Tarantism,84.62397,-6.612878,77.6691,0.34001154
Furciform,88.59128,-3.1671698,77.641205,0.33896312
Bacterioidal,84.07777,3.3856378,77.63758,0.3388269
Reperfume,84.55327,1.5129315,77.603455,0.33754417
Heresiologist,82.3292,3.6220193,77.57318,0.33640626
Trophoplasmic,88.244484,-5.9512525,77.56611,0.33614042
Pyopoietic,86.5633,-1.1495568,77.5627,0.33601224
Incomings,81.477425,1.3547373,77.518364,0.33434582
Rhabdomantist,84.905716,1.8882902,77.51179,0.33409864
Haplonts,82.34385,-6.661528,77.50976,0.33402234
Digenic,85.79033,-2.527954,77.45422,0.33193496
Zincify,84.54093,5.5076056,77.38456,0.32931644
Blemisher,86.44352,-3.8212922,77.384445,0.32931215
Arrestant,80.7,1.1904994,77.37138,0.32882118
Tenuirostral,80.90366,1.6017209,77.33836,0.32758006
Interglandular,87.748604,0.22112614,77.206024,0.32260573
Scyllioid,87.35732,-5.2993016,77.18222,0.321711
Pentabasic,81.82984,-4.5048027,77.1002,0.31862795
Heresimach,76.04134,5.8274064,77.06143,0.31717086
Salamandroid,80.84739,-1.0162375,77.02782,0.31590736
Shacklebone,84.24572,-6.829034,77.01409,0.31539145
Dextrocardial,86.6422,-1.2920736,76.91553,0.31168666
Prowfishes,80.188995,2.5851374,76.90826,0.31141338
Failles,82.6362,-3.8837724,76.90732,0.3113781
Synclinical,80.51677,-1.7985667,76.89584,0.3109468
Cybister,83.77819,-6.469641,76.87312,0.3100928
Evolvent,83.77488,-0.83739215,76.82351,0.30822793
Plaidy,81.37038,5.1264114,76.80044,0.30736074
Subobtuse,83.31629,0.6666419,76.75311,0.3055819
Autogenous,81.66131,1.2027001,76.73673,0.3049662
Epicranium,88.083176,-0.67796403,76.724594,0.30450994
Extollers,82.396645,-4.6451535,76.72169,0.30440068
Chorioadenoma,81.7593,-3.9019997,76.71571,0.30417615
Interborough,85.609245,0.18387705,76.69875,0.30353865
Retrovision,84.50452,-1.4682882,76.59257,0.2995474
Amenability,72.281235,4.4618244,76.5848,0.29925546
Ataxiagram,78.85645,1.127156,76.5712,0.29874414
Rasalas,83.42765,-4.213652,76.57019,0.2987063
Counterbuff,88.39335,-3.6333723,76.55596,0.29817146
Cassiopeia,90.2365,-2.7315912,76.54741,0.29784998
Somasthenia,87.83046,-4.647395,76.546455,0.29781416
Defamers,76.1585,4.7803073,76.51212,0.2965237
Sclerosarcoma,84.726845,-0.24357808,76.51208,0.29652196
Certosino,85.20316,-5.226193,76.49285,0.29579931
Isoptic,84.034966,0.65143,76.422386,0.2931507
Imposts,83.51354,0.55107534,76.39741,0.2922118
Egyptologer,89.117935,-1.5442369,76.37738,0.29145902
Angiopressure,81.47097,-3.7156584,76.372314,0.29126862
Dentiscalp,80.48311,-3.7405956,76.34643,0.2902956
Finetop,83.23621,-3.3676238,76.33542,0.2898818
Copartner,78.85373,2.74163,76.318794,0.28925693
Unigenous,81.249374,-0.4657295,76.30313,0.2886682
Goneoclinic,79.953514,0.9171923,76.28108,0.2878394
Undulationist,89.10527,-5.2112074,76.2156,0.28537807
Gateworks,81.54305,2.809511,76.202225,0.28487536
Planktont,79.89119,-1.093825,76.15417,0.28306898
Pheasantry,78.04557,7.1280603,76.11744,0.28168848
Backwasher,77.74023,6.005998,76.058525,0.27947405
Metallometer,80.96156,-1.7292036,76.05712,0.27942127
Iodite,76.37284,5.027447,76.04929,0.27912706
Haflin,86.505516,-3.2095935,76.01197,0.27772418
Thimbleman,86.23799,0.7607971,76.010544,0.27767053
Unshut,87.41117,-0.14182577,75.995804,0.2771165
Gangrels,76.92425,1.2736741,75.98962,0.27688393
Pressmark,83.34582,1.7991353,75.98253,0.27661753
Seacrafts,88.70962,-0.9763179,75.96212,0.27585042
Chaprassi,79.519226,3.4798913,75.961784,0.27583778
Fedifragous,84.89248,-2.2492208,75.768326,0.26856616
Paravesical,84.74292,-5.9420204,75.74887,0.2678349
Noncyclic,83.026825,2.5755923,75.73035,0.2671386
Spoliarium,81.15259,-2.3034804,75.72414,0.2669052
Petals,77.16018,2.8479946,75.68241,0.26533684
Monotrochian,78.85742,3.903126,75.662575,0.26459125
Antipapacy,76.61093,2.5715518,75.64122,0.26378855
Urosomitic,81.44945,4.112234,75.58851,0.26180726
Hereditative,83.46814,-7.404206,75.57274,0.26121452
Imanlaut,84.34851,-0.24488284,75.57208,0.26118985
Haptotropic,80.14561,-0.4131881,75.56417,0.26089248
Receptible,81.15743,-0.7171371,75.54733,0.26025957
Paracystic,84.21637,-0.09621175,75.52659,0.25947985
Gabbarts,77.66249,0.008928299,75.474945,0.25753868
Deresinize,80.4864,-0.9950174,75.46096,0.25701305
Ectocondyle,82.55139,4.3228874,75.436935,0.25611
Behalves,82.14154,0.89062715,75.40046,0.25473896
Prefectural,85.35521,0.870908,75.34831,0.2527789
Eigenstate,80.8277,7.9033628,75.336815,0.25234672
Temporalism,79.804016,-1.455693,75.31416,0.2514953
Fishboats,76.387245,6.7324347,75.294205,0.2507451
Smorebro,77.175705,2.839317,75.2719,0.24990658
Multigyrate,81.55577,0.6791034,75.234276,0.24849252
Misdesire,77.573006,5.9559064,75.18548,0.24665834
Goldenest,80.74943,-0.81215566,75.18365,0.24658951
Pipestems,83.83113,4.241678,75.15661,0.2455732
Sudoral,80.86193,-4.292283,75.14329,0.2450725
Propacifist,77.55295,1.4732014,75.13831,0.24488552
Undershrub,79.685394,-1.2935563,75.13704,0.24483763
Percheron,82.012596,-1.4064251,75.08098,0.24273044
Ranches,79.685394,8.47419,75.07063,0.24234158
Doddie,81.672874,4.1918654,75.05473,0.24174395
Semiclimber,83.353966,2.722116,75.02866,0.24076407
Upscrew,82.01715,3.7864144,75.00994,0.24006033
Romipetal,78.99247,3.8401752,75.005486,0.23989286
Gauzelike,82.11227,5.5706687,75.003555,0.2398203
Juiceful,84.73441,2.726229,74.98968,0.23929866
Substrative,81.72747,-5.488511,74.939865,0.23742634
Acroatic,79.419525,3.487556,74.88124,0.2352228
Oryzenin,77.77739,1.5966337,74.84527,0.23387067
Demesmerize,87.87193,-6.196476,74.75801,0.23059088
Centraxonial,84.26943,-6.617038,74.74566,0.2301266
Bitonalities,76.6302,3.3521113,74.73616,0.22976957
Coumarane,86.32553,-9.07152,74.647484,0.22643644
Intriguer,80.34996,-1.9678255,74.62553,0.22561112
Heteromya,84.55884,-10.346092,74.59761,0.22456183
Jaspagate,84.709984,-3.183878,74.57772,0.22381422
Butterfish,86.57403,6.1783733,74.539314,0.22237061
Inactions,77.96456,5.8038836,74.439095,0.2186036
Hypsophyllary,80.93001,1.3741527,74.378456,0.21632434
Plotless,76.76932,1.5655044,74.32937,0.21447927
Anhydrate,77.711075,-1.3284663,74.32176,0.21419336
Bonaventure,78.76381,-1.8511362,74.3125,0.21384521
Popinac,81.47831,-2.4331357,74.30301,0.21348847
Nonlicit,71.21864,3.524469,74.27839,0.21256307
Nonatmospheric,80.8952,-4.634354,74.24591,0.21134229
Paragenetic,79.377335,4.5828233,74.21243,0.21008393
Smilacaceae,83.09618,-0.7737484,74.20948,0.20997295
Brachyuranic,81.01209,-0.41545278,74.192055,0.20931797
Mingle,81.38285,0.72327566,74.18518,0.2090596
Coccothraustes,82.74744,-1.135028,74.117714,0.20652369
Inventress,83.298706,-0.008298978,74.10522,0.20605396
Siskins,85.98095,-3.1216717,74.103966,0.20600691
Coccal,80.83235,-0.9493752,74.093925,0.20562953
Retrim,82.83491,-1.5399263,74.07663,0.20497942
Sabulum,86.023026,-2.055974,74.06454,0.20452489
Molochs,85.283966,-5.1068654,74.03572,0.20344175
Viviparism,70.352585,0.9630412,74.030464,0.20324418
Oversells,80.719536,1.2982243,74.02748,0.20313205
Germen,75.82232,-0.71995115,74.022865,0.20295855
Malefactresses,83.56227,-2.7495239,73.96545,0.20080031
Weewaw,83.49391,0.46172345,73.95753,0.20050265
Deckles,86.452194,-0.011074655,73.9534,0.20034751
Squidgier,78.73762,0.25124213,73.91831,0.19902866
Disgorge,76.077446,5.9619703,73.80799,0.19488195
Isodimorphic,82.554085,-2.9252596,73.80137,0.19463304
Reearn,79.33001,-2.9754581,73.75862,0.19302626
Limity,77.29712,-5.5223107,73.75754,0.19298553
Fadmonger,79.83106,-1.6187669,73.74611,0.19255596
Anguses,81.58243,-4.3807945,73.71657,0.19144559
Piscary,82.28815,0.9905026,73.70509,0.19101427
Anthrophore,79.690956,-2.1115549,73.64416,0.18872385
Kilobytes,79.288475,-3.956215,73.63841,0.18850791
Endoarteritis,78.57006,7.484058,73.59455,0.18685926
Pilosine,80.144455,-1.8445559,73.57345,0.18606606
Zwinglianism,78.86275,-3.0117793,73.54747,0.1850896
Sulphamyl,80.93136,-1.814598,73.536064,0.18466088
Palmitin,81.13206,-1.9992437,73.51977,0.18404834
Phenylic,80.678734,6.259083,73.49405,0.18308164
Monometallism,78.5093,-4.472029,73.477234,0.1824496
Pilers,82.46048,-1.6300181,73.4698,0.18217029
Spacewoman,75.3169,2.3669698,73.4406,0.18107253
Paravail,79.22983,0.03088428,73.4217,0.1803622
Unsnap,73.95282,1.057728,73.410194,0.17992975
Octodecillion,74.683975,0.57510734,73.38787,0.17909066
Parleyer,83.770355,0.67595494,73.37973,0.17878467
Sammer,77.27826,-8.9036045,73.36911,0.1783855
Cierzos,76.01049,1.85244,73.3688,0.17837372
Unveil,73.174255,10.235904,73.34602,0.17751773
Figurants,81.8948,1.84814,73.336296,0.17715208
Heists,77.99493,7.2076964,73.33288,0.17702362
Enhearse,70.761,2.2998784,73.33039,0.17693013
Readvise,78.84073,5.473974,73.301125,0.17583008
Thelion,79.38836,6.0631976,73.282936,0.17514642
Vituline,75.49768,-2.4048865,73.272545,0.17475584
Stercoraceous,86.19116,-4.5682163,73.2072,0.17229965
Underdraft,84.83111,-0.13677874,73.17014,0.17090681
Albatrosses,74.26415,-7.4624925,73.14206,0.1698512
Proanaphora,82.09028,-3.882689,73.132324,0.16948529
Octacolic,82.01897,-2.10991,73.057655,0.16667867
Handybook,86.44759,-2.410551,73.0236,0.16539852
Kiesserite,79.14446,-2.298922,73.02081,0.16529384
Homewort,71.07834,6.052167,72.96828,0.16331916
Subsecretaries,82.42326,0.80386734,72.916695,0.16138029
Irresponsive,78.54569,1.444797,72.90364,0.16088963
Anticovenanter,84.36744,-0.072220206,72.90184,0.16082196
Dissocialize,82.63362,-0.9894631,72.89178,0.16044371
Denationalize,81.71812,1.8789436,72.88075,0.16002932
Disablers,79.17036,2.919635,72.84502,0.15868609
Textiferous,74.27801,2.4285307,72.82657,0.15799268
Misnarrate,83.715,2.8427587,72.81421,0.1575281
Alnicoes,77.91823,2.8254397,72.798,0.15691872
Fenestella,84.20906,-4.2260127,72.7774,0.15614444
Appreciators,68.68871,-0.12053129,72.6869,0.15274277
Tsotsi,80.08809,-3.6276958,72.66138,0.15178353
Energism,73.365105,2.6397374,72.654274,0.15151654
Sleighs,77.33212,-2.907807,72.61969,0.15021661
Tittivator,80.73609,-2.3080711,72.5679,0.14827001
Hoplomachy,76.34537,0.95625544,72.5578,0.14789033
Dactylozooid,84.22671,-1.6369901,72.5369,0.14710487
Outrede,79.33937,-0.24581233,72.5086,0.14604095
Spalpeen,83.69769,-7.626938,72.49924,0.14568909
Begiggle,84.43381,-3.86964,72.488106,0.14527069
Moruloid,75.03081,2.4360123,72.477066,0.14485572
Bravoite,74.961784,-0.76281685,72.474945,0.144776
Mandil,76.624374,3.9656808,72.446045,0.14368972
Unaspersive,77.57377,1.4681604,72.43274,0.1431896
Maturescence,77.0699,-0.86506456,72.374825,0.14101271
Woozier,81.32178,-2.4025257,72.368034,0.14075749
Rhyton,72.83613,-1.4251882,72.34731,0.13997862
Edenic,75.49569,0.36378917,72.30312,0.13831764
Mayvins,73.89567,0.34309044,72.29833,0.13813756
Egocentristic,82.47765,0.21182775,72.2831,0.13756488
Saddlebows,77.66491,0.77257216,72.2686,0.13702002
Protension,75.303696,3.8502529,72.26143,0.13675044
Velarize,77.13591,-2.120932,72.23038,0.1355833
