entity,pc1_score,l2_delta
Megarensian,3.4437935,83.909935
Cornmeal,3.4394946,50.73536
Alumite,3.4260883,52.790382
Erectile,3.4194694,40.16911
Wheretill,3.4176223,124.50007
Gemmate,3.4170465,67.161835
Collyria,3.3986194,67.681244
Enclitic,3.3955514,64.915436
Preclaimant,3.3928926,66.64257
Mesopelagic,3.3920152,56.95526
Postface,3.3860052,45.698982
Bacterioidal,3.3856401,84.07777
Tetrachlorides,3.3833904,60.52249
Dacoitage,3.3796878,123.75494
Galleyworm,3.3754582,63.55042
Traitorwise,3.368575,70.92542
Honourless,3.367885,72.78085
Beqwete,3.3607574,69.79222
Navels,3.3547153,92.06057
Bitonalities,3.352111,76.6302
Degummer,3.3391027,62.01926
Unpropellent,3.3304114,77.15595
Doctoral,3.3247104,51.33454
Overdebilitate,3.3236032,66.334435
Anomoeanism,3.3232923,50.29624
Assigns,3.3201084,42.984177
Primogenial,3.3149261,65.21473
Desecrations,3.2882962,48.97217
Applicative,3.28725,46.632557
Wavelet,3.2826362,39.78779
Polyglottonic,3.2753325,68.12094
Sanhedrim,3.272375,108.67939
Scutch,3.2711382,69.27838
Incunabulist,3.2668014,83.91035
Multiengine,3.2667205,50.77606
Pareoean,3.257261,79.86751
Modifies,3.2561913,69.331436
Preacherize,3.2558484,101.46753
Yeomen,3.2552123,58.3052
Flexion,3.2461681,45.813545
Herbaceous,3.2439249,51.407978
Limace,3.2372103,59.100906
Almsgiver,3.2362256,51.87902
Midlatitude,3.222945,54.944057
Membranous,3.2216587,65.49308
Chytrid,3.2189357,48.365532
Flicks,3.2125266,88.3958
Colonial,3.2107985,51.235973
Bimetallism,3.205724,62.649742
Neurology,3.1971364,44.919724
Rehoist,3.178508,84.432785
Dawson,3.1761665,68.34867
Lymphatic,3.1743112,51.40118
Tillman,3.1739097,54.87518
Intertissue,3.170765,71.46673
Presuppress,3.1619666,88.26278
Handlooms,3.1590598,45.331272
Disability,3.156959,47.393677
Chestnutty,3.1533132,55.687973
Softie,3.1531944,50.25661
Tetrole,3.1494124,55.34302
Euclidean,3.1486022,38.658337
Unmonarchical,3.1480536,58.395008
Schemas,3.136945,48.106003
Theatres,3.1347895,38.41558
Unvoluminous,3.1280837,62.020824
Teletactile,3.1209393,90.4787
Lysine,3.1201513,64.94238
Fimetic,3.117989,90.383095
Chirographic,3.1143126,49.558426
Prefurlough,3.11346,112.28211
Hellholes,3.1115506,52.634495
Fictionize,3.106193,67.881935
Ramekin,3.0901935,53.313553
Erosional,3.0894883,61.263313
Topographics,3.0731194,58.663013
Hijacks,3.07051,100.0374
Sometime,3.0673683,85.664375
Enervates,3.064732,101.68596
Expatriations,3.0636053,79.06348
Econometrician,3.0626333,55.998466
Hydrocarbonic,3.0508459,78.61476
Detenus,3.042254,57.53191
Outlets,3.0413868,74.2414
Executorship,3.0377336,104.99923
Tornado,3.0334353,42.614483
Coggie,3.0229447,63.691357
Cervical,3.0197687,40.670227
Fuseboard,3.0187607,72.07418
Connexity,2.9990973,51.452885
Collectivize,2.9967186,61.08546
Decameronic,2.99436,58.838406
Barbra,2.9940047,87.33308
Bawlers,2.9898787,60.008232
Perreia,2.9868655,63.045563
Reassume,2.9806705,70.44239
Pargana,2.9705384,69.92725
Wither,2.9700935,63.461967
Diamondize,2.9697578,57.859882
Antiquary,2.9630609,56.21674
Quiets,2.962152,58.265175
Disconsonancy,2.955482,57.387157
Adversarial,2.9523485,49.957935
Whitherward,2.948991,85.49083
Cystoidea,2.9441588,51.137688
Eurasian,2.9409034,53.979942
Supercelestial,2.93529,64.63337
Pariglin,2.9264462,100.729195
Asphodel,2.9218545,64.67762
Disablers,2.9196403,79.17036
Nucleophilic,2.917659,46.19913
Transmuscle,2.915874,64.83465
Arriero,2.9137993,52.660244
Timerau,2.9114745,90.01284
Swordtail,2.9111335,45.97127
Sorbate,2.9111104,85.103455
Enlight,2.9080396,49.937183
Caldera,2.9039402,49.556366
Phillumenist,2.8965745,89.45073
Ecumenic,2.8963952,50.906887
Ballutes,2.8953342,102.752304
Sandkey,2.8936937,90.379585
Crowns,2.8934302,39.56645
Meager,2.8898773,60.589134
Septate,2.889214,68.79665
Humiture,2.88754,62.04046
Empathizes,2.883841,56.87722
Easter,2.8809237,37.131283
Microgauss,2.8788044,59.028175
Hymenopter,2.8713899,45.289497
Slojds,2.86996,110.36463
Guider,2.863738,48.631737
Eclipsareon,2.8566132,114.43529
Potsies,2.8521025,57.096077
Predacity,2.8498168,82.10607
Petals,2.8479912,77.16018
Prisms,2.8456757,44.472202
Misnarrate,2.8427627,83.715
Unneural,2.8415232,65.36223
Smorebro,2.8393168,77.175705
Metroptosis,2.8373358,92.40683
Dimmer,2.8366194,46.332752
Bumkins,2.835088,70.894
Homeric,2.831127,55.148952
Neoterical,2.8296528,75.50618
Alnicoes,2.825441,77.91823
Discontinuer,2.8160536,55.81823
Hastile,2.8139558,85.291275
Condemnatory,2.811424,55.960567
Gateworks,2.8095107,81.54305
Rivell,2.8068542,52.143635
Postlude,2.8026307,45.061234
Singles,2.793915,48.30018
Excogitates,2.7931566,139.00087
Recommender,2.7923603,49.900227
Lactesce,2.7922084,92.99574
Aurums,2.7913284,65.89303
Prolongs,2.772831,68.00353
Thoron,2.7727208,60.630157
Kiters,2.7636075,60.510777
Tachyon,2.7620177,51.672585
Enhamper,2.7595177,81.75428
Copartner,2.7416258,78.85373
Relativistic,2.7353866,48.298744
Reforbid,2.734651,68.83818
Haemacytometer,2.7280853,63.781605
Juiceful,2.7262342,84.73441
