,delta_org_minus_base
h506,-6.830692291237561e-06
h420,-7.06501305103302e-06
h655,-7.514283061005322e-06
h705,-7.7553093432714e-06
h94,-8.283555507637708e-06
h144,-8.496269583657678e-06
h775,-8.542090654373169e-06
h231,-8.553266525268555e-06
h305,-8.802488446257861e-06
h131,-9.373202919937818e-06
h162,-9.553134441397937e-06
h546,-9.747967124051904e-06
h614,-9.831786155656275e-06
h199,-1.0134279727957995e-05
h622,-1.029819250109032e-05
h567,-1.1153146624476307e-05
h482,-1.124516129491493e-05
h573,-1.1590868234656604e-05
h783,-1.1606886982984399e-05
h353,-1.176670193681062e-05
h273,-1.1953338980630335e-05
h338,-1.2006610631942749e-05
h218,-1.2431293725967407e-05
h154,-1.2544915080070496e-05
h158,-1.31949782371521e-05
h418,-1.3419613242193762e-05
h653,-1.3529509305998388e-05
h700,-1.3661384582475122e-05
h155,-1.4122575521469116e-05
h277,-1.4897063374541553e-05
h189,-1.5104562044121472e-05
h3,-1.546628773207992e-05
h744,-1.5528500080130847e-05
h9,-1.605786383152008e-05
h697,-1.6068667173407825e-05
h309,-1.608170568945244e-05
h264,-1.6112625598863062e-05
h197,-1.6484037041686328e-05
h134,-1.6697496175832605e-05
h452,-1.7154961824417114e-05
h728,-1.7561018466949463e-05
h491,-1.8231570720672607e-05
h568,-1.8341094255469592e-05
h520,-1.8431618809766626e-05
h185,-1.860074698922798e-05
h336,-1.866184175014496e-05
h307,-1.8702074885412756e-05
h71,-1.8962845206194068e-05
h190,-1.9045919179894177e-05
h667,-1.956485211840331e-05
h151,-1.9840523600600513e-05
h639,-1.98896974324958e-05
h533,-2.0008161663920276e-05
h99,-2.0126625895455774e-05
h8,-2.0156428217954492e-05
h525,-2.0162388682298804e-05
h380,-2.0230188965797424e-05
h92,-2.036541700356498e-05
h245,-2.070032060141891e-05
h449,-2.0945444703102112e-05
h7,-2.1253526210851525e-05
h745,-2.129524946214989e-05
h129,-2.1554902195908276e-05
h68,-2.1655485033966748e-05
h311,-2.172216773033142e-05
h282,-2.2154673934071667e-05
h253,-2.218298614020675e-05
