entity,pc1_score,l2_delta
Percussion,2.2140994,51.4768
Uncolloquial,2.2036452,69.333466
Eclampsia,2.2023537,50.89404
Reliabilities,2.197468,49.894413
Doubts,2.1970885,49.359627
Portunidae,2.196825,78.28858
Hairwood,2.195083,57.18958
Garter,2.1923609,49.682228
Ricrac,2.1922069,62.28815
Hinderlins,2.1911373,67.22744
Theaterlike,2.190061,70.697975
Walkingstick,2.181438,70.00419
Knobby,2.1780164,57.313538
Heaters,2.1716266,48.51034
Erithacus,2.1706648,80.37825
Trichostasis,2.163658,84.93553
Chitarrone,2.1600876,71.82862
Derere,2.1511726,111.72825
Kinsman,2.1505992,70.21721
Husbandship,2.149472,58.57372
Mycobacterial,2.1458645,46.840332
Upcasts,2.1420982,48.424835
Australianize,2.1361163,55.02987
Noneugenical,2.1349728,88.96503
Blatterer,2.133803,113.930336
Gunarchy,2.13229,100.87523
Nondiagonal,2.1320946,58.002525
Polyblast,2.1197188,86.65931
Chrosperma,2.1192384,46.84197
Benjamin,2.1186073,60.589184
Numskull,2.11123,64.07344
Borophenylic,2.105612,74.03683
Termites,2.1006522,41.861053
Lotuslike,2.099074,55.18277
Caricaturists,2.098726,50.505325
Pyelometry,2.09074,50.492844
Undissonant,2.0845504,93.131294
Eupnoea,2.0822673,125.00034
Vendee,2.0813887,90.63436
Involutory,2.0800662,58.26925
Swanker,2.0760972,90.18299
Deathful,2.0738332,53.090183
Sprain,2.072072,52.16209
Chitarrino,2.0705976,62.543816
Haulages,2.0653098,59.423016
Drepaniform,2.0596662,72.35051
Stereography,2.059511,54.760544
Febricide,2.0526814,50.503166
Oviparous,2.0495872,56.05999
Phosphamic,2.0484743,56.770187
Epicardial,2.0380027,67.26317
Oosporange,2.03176,118.76886
Juggins,2.0304189,67.16035
Demulsifier,2.0295887,52.415985
Fiberizer,2.0261629,60.81273
Bequest,2.0222042,44.24546
Transcendible,2.020587,73.188286
Placaters,2.017291,52.196735
Bloodsuck,2.0148149,45.309933
Tiglinic,2.010755,66.18886
Redintegrator,2.0079038,170.45325
Sartorius,2.0059443,52.114994
Kindlier,2.001661,65.06649
Nakeder,1.9992673,70.4744
Dovens,1.9958045,72.02285
Swordman,1.9910464,54.26191
Disarmer,1.9817033,58.55107
Ovoviviparity,1.9737028,65.48786
Prosuffrage,1.9701742,141.45549
Codebooks,1.96764,43.744244
Viniferous,1.9635464,57.750847
Diactine,1.961354,75.58219
Tamulic,1.9586427,65.47552
Pictographic,1.9580178,52.808426
Submerse,1.9576858,56.306244
Retwists,1.9545794,70.40667
Betatrons,1.9541259,52.81246
Solidus,1.9508306,58.23375
Squillitic,1.9497398,74.86801
Squawkiest,1.9477714,65.08583
Kodaker,1.9476354,66.85709
Insteam,1.9457285,114.37008
Queller,1.943554,73.92757
Negritize,1.937104,64.18498
Catechistical,1.9345409,73.59642
Psychotheist,1.9334564,94.953
Subversives,1.9320916,57.800827
Towheads,1.9261742,70.948524
Docudrama,1.918035,44.351116
Salesmanship,1.9138938,46.29305
Postliterate,1.9102572,65.37883
Saponine,1.9063883,50.387905
Newcomer,1.9050554,68.853035
Gaffsail,1.9013345,147.12909
Caesural,1.8935999,61.51776
Prevaricator,1.8898857,72.70859
Manubaliste,1.8889171,199.2459
Rhabdomantist,1.8882899,84.90571
Saturnine,1.887422,119.41463
Revolute,1.8826458,54.48227
Denationalize,1.8789463,81.71812
Nonambitious,1.8755925,59.504974
Serbonian,1.8745104,92.81493
Bootlaces,1.8669112,49.08196
